graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-obj,ilp,4.0,610153514.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-obj,dp,4.0,233610378.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-obj,sat,4.0,195787029.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-obj,ilp,4.0,517778190.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-obj,dp,4.0,244325511.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-obj,sat,4.0,1749819015.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-obj,ilp,5.0,708450268.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-obj,dp,5.0,5610276972.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-obj,sat,5.0,2174249338.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-obj,ilp,6.0,1044301028.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-obj,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-obj,sat,6.0,3129312859.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-obj,ilp,6.0,1494683871.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-obj,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-obj,sat,6.0,3857769532.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-obj,ilp,9.0,6316805074.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-obj,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-obj,sat,,,
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-obj,ilp,3.0,122615782.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-obj,dp,3.0,3795958.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-obj,sat,3.0,11057254.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-obj,ilp,6.0,1736612236.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-obj,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-obj,sat,6.0,5171167317.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-obj,ilp,8.0,2221728356.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-obj,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-obj,sat,,,
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition-obj,ilp,12.0,25257518043.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition-obj,dp,0.0,60000000000.0,False
