graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj,ilp,0.0,321158950.0,True
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj,sat,0.0,13869.0,True
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj,dp,0.0,19498.0,True
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj --no_bct,ilp,0.0,14362245.0,True
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj --no_bct,sat,0.0,1880495.0,True
graph G {  0; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 3; 3 -- 4; 4;},D@s,bin/okp-recognition-obj --no_bct,dp,0.0,43908.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj,ilp,4.0,187209829.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj,sat,4.0,130141601.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj,dp,4.0,26823183.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj --no_bct,ilp,4.0,515729771.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj --no_bct,sat,4.0,279746624.0,True
graph G {  0; 0 -- 7; 1; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},G@Kx~{,bin/okp-recognition-obj --no_bct,dp,4.0,2329401637.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj,ilp,4.0,172686228.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj,sat,4.0,129979975.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj,dp,4.0,27236863.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj --no_bct,ilp,4.0,405654570.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj --no_bct,sat,4.0,188926331.0,True
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj --no_bct,dp,4.0,699023710.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,ilp,0.0,2239002.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,sat,0.0,86485.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,dp,0.0,41773.0,True
