graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition,sat,4.0,193897027.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-full,sat,4.0,230698427.0,True
graph G {  0; 0 -- 2; 0 -- 3; 1; 1 -- 2; 1 -- 3; 2; 2 -- 3; 3;},C^,bin/okp-recognition,sat,0.0,82976.0,True
graph G {  0; 0 -- 2; 0 -- 3; 1; 1 -- 2; 1 -- 3; 2; 2 -- 3; 3;},C^,bin/okp-recognition-full,sat,0.0,89879.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition,sat,4.0,1750041694.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-full,sat,4.0,1807933896.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition,sat,5.0,2183647736.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-full,sat,5.0,2278164309.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition,sat,6.0,3146205719.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-full,sat,6.0,3650737157.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition,sat,6.0,3852890559.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-full,sat,6.0,3902402988.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 1; 1 -- 2; 1 -- 3; 2; 2 -- 3; 3;},C~,bin/okp-recognition,sat,1.0,198663.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 1; 1 -- 2; 1 -- 3; 2; 2 -- 3; 3;},C~,bin/okp-recognition-full,sat,1.0,223319.0,True
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 3; 2; 2 -- 4; 3; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 5 -- 8; 6; 6 -- 7; 6 -- 8; 7; 7 -- 8; 8;},HqGOOKF,bin/okp-recognition,sat,1.0,963288.0,True
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 3; 2; 2 -- 4; 3; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 5 -- 8; 6; 6 -- 7; 6 -- 8; 7; 7 -- 8; 8;},HqGOOKF,bin/okp-recognition-full,sat,1.0,1127917.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 5;},Es\o,bin/okp-recognition,sat,2.0,6442487.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 5;},Es\o,bin/okp-recognition-full,sat,2.0,1503795.0,True
